"file","group","model","scorer","mean","median"
"hbase-0.95.0",1,"DT","F1_W",0.37,0.37
"hbase-0.95.0",3,"RF","MCC",0.3,0.3
"hbase-0.95.0",3,"RF","LogLoss",0.3,0.3
"hbase-0.95.0",3,"RF","Gmean",0.3,0.3
"hbase-0.95.0",4,"RF","ACC",0,0
"hbase-0.95.0",1,"RF","BAL_ACC",0.33,0.33
"hbase-0.95.0",2,"RF","AUC",0.32,0.32
"hbase-0.95.0",2,"RF","F1",0.32,0.32
"hbase-0.95.0",3,"RF","F1_W",0.3,0.3
"hbase-0.95.0",1,"KNN","MCC",0.24,0.24
"hbase-0.95.0",4,"KNN","LogLoss",0.14,0.14
"hbase-0.95.0",2,"KNN","Gmean",0.23,0.23
"hbase-0.95.0",1,"KNN","ACC",0.24,0.24
"hbase-0.95.0",1,"KNN","BAL_ACC",0.24,0.24
"hbase-0.95.0",3,"KNN","AUC",0.22,0.22
"hbase-0.95.0",1,"KNN","F1",0.24,0.24
"hbase-0.95.0",1,"KNN","F1_W",0.24,0.24
"hive-0.10.0",2,"DT","MCC",0.26,0.26
"hive-0.10.0",3,"DT","LogLoss",0.25,0.25
"hive-0.10.0",4,"DT","Gmean",0.24,0.24
"hive-0.10.0",1,"DT","ACC",0.27,0.27
"hive-0.10.0",4,"DT","BAL_ACC",0.24,0.24
"hive-0.10.0",5,"DT","AUC",0.23,0.23
"hive-0.10.0",1,"DT","F1",0.27,0.27
"hive-0.10.0",1,"DT","F1_W",0.27,0.27
"hive-0.10.0",2,"RF","MCC",0.27,0.27
"hive-0.10.0",1,"RF","LogLoss",0.28,0.28
"hive-0.10.0",3,"RF","Gmean",0.23,0.23
"hive-0.10.0",1,"RF","ACC",0.28,0.28
"hive-0.10.0",4,"RF","BAL_ACC",0.22,0.22
"hive-0.10.0",4,"RF","AUC",0.22,0.22
"hive-0.10.0",2,"RF","F1",0.27,0.27
"hive-0.10.0",2,"RF","F1_W",0.27,0.27
"hive-0.10.0",2,"KNN","MCC",0.15,0.15
"hive-0.10.0",5,"KNN","LogLoss",0.06,0.06
"hive-0.10.0",1,"KNN","Gmean",0.23,0.23
"hive-0.10.0",4,"KNN","ACC",0.11,0.11
"hive-0.10.0",4,"KNN","BAL_ACC",0.11,0.11
"hive-0.10.0",3,"KNN","AUC",0.12,0.12
"hive-0.10.0",4,"KNN","F1",0.11,0.11
"hive-0.10.0",2,"KNN","F1_W",0.15,0.15
"hive-0.9.0",2,"DT","MCC",0.35,0.35
"hive-0.9.0",6,"DT","LogLoss",0.29,0.29
"hive-0.9.0",5,"DT","Gmean",0.3,0.3
"hive-0.9.0",2,"DT","ACC",0.35,0.35
"hive-0.9.0",4,"DT","BAL_ACC",0.32,0.32
"hive-0.9.0",1,"DT","AUC",0.38,0.38
"hive-0.9.0",3,"DT","F1",0.34,0.34
"hive-0.9.0",2,"DT","F1_W",0.35,0.35
"hive-0.9.0",1,"RF","MCC",0.39,0.39
"hive-0.9.0",3,"RF","LogLoss",0.35,0.35
"hive-0.9.0",2,"RF","Gmean",0.36,0.36
"hive-0.9.0",3,"RF","ACC",0.35,0.35
"hive-0.9.0",4,"RF","BAL_ACC",0.32,0.32
"hive-0.9.0",2,"RF","AUC",0.36,0.36
"hive-0.9.0",3,"RF","F1",0.35,0.35
"hive-0.9.0",5,"RF","F1_W",0.31,0.31
"hive-0.9.0",1,"KNN","MCC",0.3,0.3
"hive-0.9.0",2,"KNN","LogLoss",0.29,0.29
"hive-0.9.0",3,"KNN","Gmean",0.28,0.28
"hive-0.9.0",1,"KNN","ACC",0.3,0.3
"hive-0.9.0",1,"KNN","BAL_ACC",0.3,0.3
"hive-0.9.0",1,"KNN","AUC",0.3,0.3
"hive-0.9.0",1,"KNN","F1",0.3,0.3
"hive-0.9.0",1,"KNN","F1_W",0.3,0.3
"jruby-1.1",2,"DT","MCC",0.43,0.43
"jruby-1.1",4,"DT","LogLoss",0.38,0.38
"jruby-1.1",2,"DT","Gmean",0.43,0.43
"jruby-1.1",5,"DT","ACC",0.26,0.26
"jruby-1.1",2,"DT","BAL_ACC",0.43,0.43
"jruby-1.1",3,"DT","AUC",0.4,0.4
"jruby-1.1",2,"DT","F1",0.43,0.43
"jruby-1.1",1,"DT","F1_W",0.45,0.45
"jruby-1.1",3,"RF","MCC",0.45,0.45
"jruby-1.1",4,"RF","LogLoss",0.43,0.43
"jruby-1.1",1,"RF","Gmean",0.47,0.47
"jruby-1.1",5,"RF","ACC",0.37,0.37
"jruby-1.1",2,"RF","BAL_ACC",0.46,0.46
"jruby-1.1",1,"RF","AUC",0.47,0.47
"jruby-1.1",3,"RF","F1",0.45,0.45
"jruby-1.1",4,"RF","F1_W",0.43,0.43
"jruby-1.1",1,"KNN","MCC",0.43,0.43
